rna_counts_matrix	erv_counts_matrix	sample_id	read1	read2	seq_batch	tissue	genotype	condition	treatment	mouse	dpi	experiment	germ-free
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S1_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S1	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S1/S1_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S1/S1_2.fq.gz	2	Ileum	TrexWT	H2O	PBS	1045	3	LZ132	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S2_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S2	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S2/S2_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S2/S2_2.fq.gz	2	Ileum	TrexWT	H2O	PBS	1046	3	LZ132	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S3_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S3	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S3/S3_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S3/S3_2.fq.gz	2	Ileum	TrexWT	H2O	PBS	1049	3	LZ132	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S4_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S4	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S4/S4_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S4/S4_2.fq.gz	2	Ileum	TrexWT	H2O	PBS	1049	3	LZ132	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S5_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S5	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S5/S5_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S5/S5_2.fq.gz	2	Ileum	TrexWT	H2O	PBS	1050	3	LZ132	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S6_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S6	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S6/S6_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S6/S6_2.fq.gz	2	Ileum	TrexWT	H2O	PBS	1050	3	LZ132	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S7_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S7	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S7/S7_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S7/S7_2.fq.gz	2	Ileum	TrexWT	H2O	IFNL	1045	3	LZ132	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S8_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S8	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S8/S8_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S8/S8_2.fq.gz	2	Ileum	TrexWT	H2O	IFNL	1046	3	LZ132	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S9_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S9	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S9/S9_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S9/S9_2.fq.gz	2	Ileum	TrexWT	H2O	IFNL	1049	3	LZ132	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S10_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S10	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S10/S10_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S10/S10_2.fq.gz	2	Ileum	TrexWT	H2O	IFNL	1049	3	LZ132	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S11_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S11	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S11/S11_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S11/S11_2.fq.gz	2	Ileum	TrexWT	H2O	IFNL	1050	3	LZ132	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S12_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S12	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S12/S12_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S12/S12_2.fq.gz	2	Ileum	TrexWT	H2O	IFNL	1050	3	LZ132	no
/gpfs/data/cbc/sanghyun_lee/batch2_0714/S13_htseq_counts	/gpfs/data/cbc/sanghyun_lee/INFL_PBS_0713_George3/erv/countTable.Miner_Locus.txt	S13	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S13/S13_1.fq.gz	/gpfs/data/cbc/sanghyun_lee/batch2/usftp21.novogene.com/01.RawData/S13/S13_2.fq.gz	2	Ileum	TrexWT	RTI	PBS	1046	3	LZ132	no
