rna_counts_matrix	experiment	sample_id	seq_batch	tissue	genotype	Condition	Treatment	mouse	DaysPostInfection	germ.free
S1_htseq_counts	LZ132	S1	2	Ileum	TrexWT	H2O	PBS	1045	3	no
S2_htseq_counts	LZ132	S2	2	Ileum	TrexWT	H2O	PBS	1046	3	no
S3_htseq_counts	LZ132	S3	2	Ileum	TrexWT	H2O	PBS	1049	3	no
S4_htseq_counts	LZ132	S4	2	Ileum	TrexWT	H2O	PBS	1049	3	no
S5_htseq_counts	LZ132	S5	2	Ileum	TrexWT	H2O	PBS	1050	3	no
S6_htseq_counts	LZ132	S6	2	Ileum	TrexWT	H2O	PBS	1050	3	no
S7_htseq_counts	LZ132	S7	2	Ileum	TrexWT	H2O	IFNL	1045	3	no
S8_htseq_counts	LZ132	S8	2	Ileum	TrexWT	H2O	IFNL	1046	3	no
S9_htseq_counts	LZ132	S9	2	Ileum	TrexWT	H2O	IFNL	1049	3	no
S10_htseq_counts	LZ132	S10	2	Ileum	TrexWT	H2O	IFNL	1049	3	no
S11_htseq_counts	LZ132	S11	2	Ileum	TrexWT	H2O	IFNL	1050	3	no
S12_htseq_counts	LZ132	S12	2	Ileum	TrexWT	H2O	IFNL	1050	3	no
S13_htseq_counts	LZ132	S13	2	Ileum	TrexWT	RTI	PBS	1046	3	no
S14_htseq_counts	LZ132	S14	2	Ileum	TrexWT	RTI	PBS	1046	3	no
S15_htseq_counts	LZ132	S15	2	Ileum	TrexWT	RTI	PBS	1049	3	no
S16_htseq_counts	LZ132	S16	2	Ileum	TrexWT	RTI	PBS	1049	3	no
S17_htseq_counts	LZ132	S17	2	Ileum	TrexWT	RTI	PBS	1050	3	no
S18_htseq_counts	LZ132	S18	2	Ileum	TrexWT	RTI	PBS	1050	3	no
S19_htseq_counts	LZ132	S19	2	Ileum	TrexWT	RTI	IFNL	1046	3	no
S20_htseq_counts	LZ132	S20	2	Ileum	TrexWT	RTI	IFNL	1046	3	no
S21_htseq_counts	LZ132	S21	2	Ileum	TrexWT	RTI	IFNL	1049	3	no
S22_htseq_counts	LZ132	S22	2	Ileum	TrexWT	RTI	IFNL	1049	3	no
S23_htseq_counts	LZ132	S23	2	Ileum	TrexWT	RTI	IFNL	1049	3	no
S24_htseq_counts	LZ132	S24	2	Ileum	TrexWT	RTI	IFNL	1050	3	no
S25_htseq_counts	LZ133	S25	2	Ileum	TrexWT	H2O	IFNL	1055	1	no
S26_htseq_counts	LZ133	S26	2	Ileum	TrexWT	H2O	IFNL	1055	1	no
S27_htseq_counts	LZ133	S27	2	Ileum	TrexWT	H2O	IFNL	1056	1	no
S28_htseq_counts	LZ133	S28	2	Ileum	TrexWT	H2O	IFNL	1057	1	no
S29_htseq_counts	LZ133	S29	2	Ileum	TrexWT	H2O	IFNL	1058	1	no
S30_htseq_counts	LZ133	S30	2	Ileum	TrexWT	H2O	IFNL	1067	1	no
S31_htseq_counts	LZ133	S31	2	Ileum	TrexWT	RTI	IFNL	1055	1	no
S32_htseq_counts	LZ133	S32	2	Ileum	TrexWT	RTI	IFNL	1055	1	no
S33_htseq_counts	LZ133	S33	2	Ileum	TrexWT	RTI	IFNL	1056	1	no
S34_htseq_counts	LZ133	S34	2	Ileum	TrexWT	RTI	IFNL	1057	1	no
S35_htseq_counts	LZ133	S35	2	Ileum	TrexWT	RTI	IFNL	1058	1	no
S36_htseq_counts	LZ133	S36	2	Ileum	TrexWT	RTI	IFNL	1067	1	no
S37_htseq_counts	LZ133	S37	2	Ileum	TrexWT	H2O	IFNL	1055	5	no
S38_htseq_counts	LZ133	S38	2	Ileum	TrexWT	H2O	IFNL	1055	5	no
S39_htseq_counts	LZ133	S39	2	Ileum	TrexWT	H2O	IFNL	1056	5	no
S40_htseq_counts	LZ133	S40	2	Ileum	TrexWT	H2O	IFNL	1058	5	no
S41_htseq_counts	LZ133	S41	2	Ileum	TrexWT	H2O	IFNL	1068	5	no
S42_htseq_counts	LZ133	S42	2	Ileum	TrexWT	H2O	IFNL	1079	5	no
S43_htseq_counts	LZ133	S43	2	Ileum	TrexWT	RTI	IFNL	1055	5	no
S44_htseq_counts	LZ133	S44	2	Ileum	TrexWT	RTI	IFNL	1056	5	no
S45_htseq_counts	LZ133	S45	2	Ileum	TrexWT	RTI	IFNL	1057	5	no
S46_htseq_counts	LZ133	S46	2	Ileum	TrexWT	RTI	IFNL	1058	5	no
S47_htseq_counts	LZ133	S47	2	Ileum	TrexWT	RTI	IFNL	1068	5	no
S48_htseq_counts	LZ133	S48	2	Ileum	TrexWT	RTI	IFNL	1079	5	no
S49_htseq_counts	LZ136	S49	2	Ileum	TrexWT	notapplicable	PBS	GFB6	3	yes
S50_htseq_counts	LZ136	S50	2	Ileum	TrexWT	notapplicable	PBS	GFB6	3	yes
S51_htseq_counts	LZ136	S51	2	Ileum	TrexWT	notapplicable	PBS	GFB6	3	yes
S52_htseq_counts	LZ136	S52	2	Ileum	TrexWT	notapplicable	IFNL	GFB6	3	yes
S53_htseq_counts	LZ136	S53	2	Ileum	TrexWT	notapplicable	IFNL	GFB6	3	yes
S54_htseq_counts	LZ136	S54	2	Ileum	TrexWT	notapplicable	IFNL	GFB6	3	yes
