sample	Experiment	Tissue	DaysPostInfection	Treatment	Condition	GermFree
S1_htseq_counts	LZ132	Ileum	3	H2O	PBS	No
S2_htseq_counts	LZ132	Ileum	3	H2O	PBS	No
S3_htseq_counts	LZ132	Ileum	3	H2O	PBS	No
S4_htseq_counts	LZ132	Ileum	3	H2O	PBS	No
S5_htseq_counts	LZ132	Ileum	3	H2O	PBS	No
S6_htseq_counts	LZ132	Ileum	3	H2O	PBS	No
S7_htseq_counts	LZ132	Ileum	3	H2O	IFNL	No
S8_htseq_counts	LZ132	Ileum	3	H2O	IFNL	No
S9_htseq_counts	LZ132	Ileum	3	H2O	IFNL	No
S10_htseq_counts	LZ132	Ileum	3	H2O	IFNL	No
S11_htseq_counts	LZ132	Ileum	3	H2O	IFNL	No
S12_htseq_counts	LZ132	Ileum	3	H2O	IFNL	No
S13_htseq_counts	LZ132	Ileum	3	RTI	PBS	No
S14_htseq_counts	LZ132	Ileum	3	RTI	PBS	No
S15_htseq_counts	LZ132	Ileum	3	RTI	PBS	No
S16_htseq_counts	LZ132	Ileum	3	RTI	PBS	No
S17_htseq_counts	LZ132	Ileum	3	RTI	PBS	No
S18_htseq_counts	LZ132	Ileum	3	RTI	PBS	No
S19_htseq_counts	LZ132	Ileum	3	RTI	IFNL	No
S20_htseq_counts	LZ132	Ileum	3	RTI	IFNL	No
S21_htseq_counts	LZ132	Ileum	3	RTI	IFNL	No
S22_htseq_counts	LZ132	Ileum	3	RTI	IFNL	No
S23_htseq_counts	LZ132	Ileum	3	RTI	IFNL	No
S24_htseq_counts	LZ132	Ileum	3	RTI	IFNL	No
S25_htseq_counts	LZ133	Ileum	1	H2O	IFNL	No
S26_htseq_counts	LZ133	Ileum	1	H2O	IFNL	No
S27_htseq_counts	LZ133	Ileum	1	H2O	IFNL	No
S28_htseq_counts	LZ133	Ileum	1	H2O	IFNL	No
S29_htseq_counts	LZ133	Ileum	1	H2O	IFNL	No
S30_htseq_counts	LZ133	Ileum	1	H2O	IFNL	No
S31_htseq_counts	LZ133	Ileum	1	RTI	IFNL	No
S32_htseq_counts	LZ133	Ileum	1	RTI	IFNL	No
S33_htseq_counts	LZ133	Ileum	1	RTI	IFNL	No
S34_htseq_counts	LZ133	Ileum	1	RTI	IFNL	No
S35_htseq_counts	LZ133	Ileum	1	RTI	IFNL	No
S36_htseq_counts	LZ133	Ileum	1	RTI	IFNL	No
S37_htseq_counts	LZ133	Ileum	5	H2O	IFNL	No
S38_htseq_counts	LZ133	Ileum	5	H2O	IFNL	No
S39_htseq_counts	LZ133	Ileum	5	H2O	IFNL	No
S40_htseq_counts	LZ133	Ileum	5	H2O	IFNL	No
S41_htseq_counts	LZ133	Ileum	5	H2O	IFNL	No
S42_htseq_counts	LZ133	Ileum	5	H2O	IFNL	No
S43_htseq_counts	LZ133	Ileum	5	RTI	IFNL	No
S44_htseq_counts	LZ133	Ileum	5	RTI	IFNL	No
S45_htseq_counts	LZ133	Ileum	5	RTI	IFNL	No
S46_htseq_counts	LZ133	Ileum	5	RTI	IFNL	No
S47_htseq_counts	LZ133	Ileum	5	RTI	IFNL	No
S48_htseq_counts	LZ133	Ileum	5	RTI	IFNL	No
S49_htseq_counts	LZ136	Ileum	3	none	PBS	Yes
S50_htseq_counts	LZ136	Ileum	3	none	PBS	Yes
S51_htseq_counts	LZ136	Ileum	3	none	PBS	Yes
S52_htseq_counts	LZ136	Ileum	3	none	IFNL	Yes
S53_htseq_counts	LZ136	Ileum	3	none	IFNL	Yes
S54_htseq_counts	LZ136	Ileum	3	none	IFNL	Yes
